"","x","y","areaId","pr"
"136",478925.944307776,412026.584928894,"457",0.12425
"137",479924.566749422,412026.374953897,"458",0.07025
"138",480923.188741186,412026.175162185,"459",0.01975
"139",481921.810207828,412025.985578892,"460",0.018
"140",482920.43124122,412025.806212183,"461",0.041
"141",483919.051841237,412025.637012183,"462",0.05625
"142",484917.672041255,412025.478012182,"463",0.0745
"143",485916.291924641,412025.329178884,"464",0.08075
"144",486914.911424659,412025.190578883,"465",0.113
"145",487913.530599678,412025.062187178,"466",0.10325
"146",488912.149508066,412024.943912175,"467",0.10825
"147",489910.768099712,412024.835837176,"468",0.15875
"148",490909.386449726,412024.737970585,"469",0.17425
"149",491908.004616489,412024.650337173,"470",NA
"150",461948.877407375,411037.632562232,"499",NA
"151",462947.522090648,411037.250262243,"500",0.2575
"152",463946.165899037,411036.878137235,"501",0.26725
"153",464944.808857426,411036.516162228,"502",0.2055
"154",465943.450949071,411036.164387233,"503",0.364
"155",466942.092190826,411035.822778925,"504",0.29825
"156",467940.732582483,411035.491320519,"505",0.2605
"157",468939.322382489,411035.110503927,"506",0.1555
"158",469938.011065883,411034.858887217,"507",0.19
"159",470936.6492159,411034.557937215,"508",0.16725
"160",471935.286607546,411034.267162218,"509",0.138
"161",472933.923349301,411033.986553913,"510",0.1225
"162",473932.559374323,411033.716112207,"511",0.1905
"163",474931.19477434,411033.455812206,"512",0.1595
"164",475929.829565986,411033.205687209,"513",0.158
"165",476928.463782746,411032.9657372,"514",0.199
"166",477927.09740776,411032.735928904,"515",0.15575
"167",478925.730474409,411032.516312202,"516",0.09525
"168",479924.363091169,411032.306862194,"517",0.05775
"169",480922.995174443,411032.1075622,"518",0.0225
"170",481921.626799575,411031.91843719,"519",0.012
"171",482920.257932849,411031.739487195,"520",0.0335
"172",483918.888666235,411031.570703896,"521",0.0525
"173",484917.519024624,411031.412078893,"522",0.0685
"174",485916.149016275,411031.263620486,"523",0.08275
"175",486914.778658032,411031.125312185,"524",0.10175
"176",487913.407966304,411030.997203894,"525",0.1045
"177",488912.036999695,411030.879237186,"526",0.07725
"178",489910.665733082,411030.771403888,"527",0.07575
"179",490909.294233102,411030.673820479,"528",0.126
"180",491907.922508118,411030.586362183,"529",NA
"181",492906.550583134,411030.509053887,"530",NA
"182",460949.836498987,410043.943387248,"557",NA
"183",461948.492265625,410043.551853958,"558",0.2185
